country;variety;Pontos;Preço_Mediana
US       ;Shiraz                    ;23;23
US       ;Siegerrebe                ;1;15
US       ;Silvaner                  ;1;14
US       ;Sparkling Blend           ;354;30
US       ;Symphony                  ;2;8,5
US       ;Syrah                     ;1634;35
US       ;Syrah-Cabernet            ;4;45,5
US       ;Syrah-Cabernet Franc      ;1;69
US       ;Syrah-Cabernet Sauvignon  ;17;50
US       ;Syrah-Grenache            ;17;34
US       ;Syrah-Mourvèdre           ;4;32
US       ;Syrah-Petite Sirah        ;6;35,5
US       ;Syrah-Tempranillo         ;3;45
US       ;Syrah-Viognier            ;5;37
US       ;Sémillon                  ;41;22
US       ;Tannat                    ;27;30
US       ;Tannat-Syrah              ;1;40
US       ;Tempranillo               ;163;30
US       ;Tempranillo Blend         ;3;24
US       ;Tempranillo-Cabernet Sauvi;1;90
US       ;Teroldego                 ;5;30
US       ;Tinta Amarela             ;1;30
US       ;Tinta Madeira             ;1;45
US       ;Tocai Friulano            ;9;20
US       ;Torrontés                 ;3;22
US       ;Touriga                   ;2;45,5
US       ;Touriga Nacional          ;10;24
US       ;Touriga Nacional Blend    ;1;16
US       ;Traminette                ;4;14,5
US       ;Trebbiano                 ;1;16
US       ;Ugni Blanc                ;1;27
US       ;Valdiguié                 ;4;10
US       ;Verdejo                   ;4;18
US       ;Verdelho                  ;11;15
US       ;Vermentino                ;19;26
US       ;Vidal                     ;2;13,5
US       ;Vidal Blanc               ;23;25
US       ;Vignoles                  ;6;15
US       ;Viognier                  ;408;24
US       ;Viognier-Chardonnay       ;1;49
US       ;Viognier-Grenache Blanc   ;1;34
US       ;Viognier-Marsanne         ;1;16
US       ;Viognier-Roussanne        ;2;22
US       ;Viognier-Valdiguié        ;1;17
US       ;White Blend               ;326;19
US       ;White Riesling            ;5;18
US       ;Zinfandel                 ;1355;28
US       ;Zweigelt                  ;3;30
